n3829902,陈静：随心飞翔
n11086618,【征文】洋洋大观中国菜 古今食品两重天
n11203302,觅真：复活节随想
n11203873,张林：人间地狱（2）
n11206251,【征文】季年：咏而归—父母临终忆记（一）
n11216582,海风：暴力阻挡不了信仰的光芒
n11206860,【征文】季年：咏而归—父母临终忆记（二）
n11222414,张林: 人间地狱（4）
n11223813,无声的力道
n11206936,【征文】季年：咏而归—父母临终忆记（三）
n11225622,张林: 人间地狱(5)
n11225702,项云：农民一席话让我想到的
n11223075,【征文】贝明：寻根
n11206951,【征文】季年：咏而归—父母临终忆记（四）
n11233384,张林：人间地狱（6）
n11206982,【征文】季年：咏而归——父母临终忆记（五）
n11238020,四百万难治好的脑瘤并发症 修大法痊愈
n11240387,张林：人间地狱（7）
n11245625,小纤：浅析邪党文化造就的“巨婴心理”
n11242144,【征文】黄宜生：继承中华美德 复兴传统文化
n11248954,张林：人间地狱（8）
n11250652,颜丹：大陆监狱里的“救赎”让人想到的
n11246413,【征文】江涓：我的祖母（上）
n11255351,张林: 人间地狱(9)
n11246436,【征文】江涓：我的祖母（中）
n11246469,【征文】江涓：我的祖母（下）
n11261856,张林：人间地狱(10)
n11267237,张林：人间地狱（11）
n11263596,【征文】钟佩芩：弘扬传统文化
n11264942,【征文】萧天仁：中华文字留传万世
n11271777,张林：人间地狱（12）
n11279814,张林：人间地狱（13）
n11270500,【征文】黄伟钊：传统文化庇荫我们一家
n11283146,【征文】德音：忆梦三秦（上）
n11285618,张林：人间地狱（14）
n11280108,【征文】万钧：时穷节乃见——一个爱国反共的传统知识分子（一）
n11279162,【征文】金升：用传统与信仰重塑普世人格
n11283163,【征文】德音：忆梦三秦（下）
n11283065,【征文】墨香徐生：望心明
n11290329,白夜：那些子弹究竟是往哪里去了？
n11280784,【征文】万钧：时穷节乃见——一个爱国反共的传统知识分子（ 二 )
n11283115,【征文】五月：千年古城不一样的文革往事
n11281208,【征文】万钧：时穷节乃见——一个爱国反共的传统知识分子（ 三 )
n11293932,项云：大陆底层人感想一则
n11290132,【征文】陈雅芝：礼
n11294871,苦胆：六四鸣镝
n11295178,天涯贝壳：谁能告诉我，今天是什么日子 
n11281467,【征文】万钧：时穷节乃见——一个爱国反共的传统知识分子(四)
n11290165,【征文】杨杰：中国传统思想在西方的复苏
n11281534,【征文】万钧：时穷节乃见——一个爱国反共的传统知识分子（ 五)
n11302133,可心：六四之后 这群西方人为何走上天安门？
n11290449,【征文】刘涤凡：花开花谢在春风
n11298090,夏小强：我的乡愁在台湾
n11295700,【征文】月光：“迷信”乃迷中信
n11293634,【征文】文子：在我心间祭上一炷香
n11295507,【征文】今昭：法轮功  五千年文明送给世界的礼物
n11281542,【征文】万钧：时穷节乃见——一个爱国反共的传统知识分子（ 六 )
n11308708,长风拂泪：选择决定未来——观影片《选择》
n11299147,【征文】苦胆：孤守者的背影
n11299652,【征文】宇莲：回归人性的善良 找到人生的真谛
n11306264,【征文】晴文：浅谈顺治皇帝：情幻过后 更懂人生
n11304352,【征文】圆容：耿心正青史 浩气凛君王
n11307259,【征文】戴经纬：纪念我的母亲
n11321749,风儿：传统武术与西洋搏击的区别
n11312298,【征文】亦然：观感神韵节目《观画入境》
n11314368,【征文】德馨：家庭由神设立 维护传统与道德
n11324780,【征文】若馨：古老北京城及其神传文化内涵(1)
n11326779,【征文】若馨：古老北京城及其神传文化内涵(2)
n11337762,小燕：看电影《归途》有感
n11342247,杜彼得：世局岂能尽如人意
n11346384,夏小强：为什么台湾最美的风景是人？
n11352548,李文足：我终于见到了王全璋
n11355229,唐风：香港  我为你歌唱！
n11359869,梁启智：他们不是在冲击，他们在自杀
n11360290,港立法会采访记者：这是一个吃孩子的政权
n11367038,王赫：“王岐山现象”在折射什么？
n11367730,颜丹：说说“中国医生”的口碑
n11367982,仲维光：悼程派第三代大师吕东明先生辞世一周年
n11368562,谢田：荷兰阿姆斯特丹的半日印象
n11369322,杜彼得：人法地 地法天 天法道 道法自然
n11369602,归正：“恐怖大王”现原形
n11370746,陆客：香港反送中事件里中共害怕的人
n11371526,安景 ：救己 救家（致香港）
n11372366,夏小强：南国的风 ——台湾见闻录之一
n11372592,许茹：川普说“我们都是神的子民”启示世界
n11377636,孟之：希望——献给伟大的香港儿女
n11378569,王赫：中共还能在三峡工程火药包上坐多久?
n11384992,飞云：遗爱湖的遗憾
n11385324,杜彼得：任当其职而道不行 见用于时而志不遂
n11388643,夏小强：中原北望——台湾见闻录之二
n11145015,【征文】王友群：中国传统文化中的敬畏之心
n11396718,王赫：习近平是清遗祸还是背黑锅？
n11407910,五月：奶奶家的小阿黄
n11410418,长风拂泪：影评——为你而来
n11422236,宁静：香港的孩子要相信正义必胜
n11417874,李维娜：从中国古典舞看神传文化
n11445534,杜彼得：莫之为而为者 天也;莫之致而至者 命也
n11457185,慕天：有感于一则广泛流传的博文
n11458294,宁静：香港的孩子在等待你的选择
n11460530,可心：从川普免除“圣经税”谈起
n11460562,陆客：和老朽们回忆一句话——历史是混不过去的
n11465226,杜彼得：虽有智慧 不如乘势  虽有镃基 不如待时
n11476248,杜彼得：垂緌饮清露 流响出疏桐；居高声自远 非是藉秋风
n11478343,清风：从《辛德勒的名单》说起
n11482103,王赫：时局乱弹——想起崇祯给魏忠贤平反
n11484767,惠虎宇：影片讲述当代中国无法回避的重大转折
n11491054,陆文：拜读《香港檄文》吟
n11495394,兿炜：天佑香港
n11505186,唐恩：中秋月圆人未圆
n11507185,杜彼得：观乎天文以察时变  观乎人文以化成天下
n11513344,“月满南加”中秋游园会记游
n11517812,王赫：马云交班背后的三件事
n11520691,觅真：大法神奇显 感恩表心愿
n11520959,唐恩：中秋月圆谢师恩
n11522091,九天剑：香港 我为你哭泣 为你祝福
n11525307,赵凤华：信念是一盏烛灯
n11531541,千瑞：最后的忠告
n11531921,莲园：长相思‧明辨是非
n11535332,张奂才：北京惊魂
n11535661,可心：从香港学生“生于乱世，有种责任”说起
n11539433,长风拂泪：观记录片《传奇时代-天国乐团》有感
n11556849,云松：四二五和平请愿廿年有感
n11554014,陆文：两位大陆人在外国的见闻
n11561825,李乐：莫言率土皆赤化，且看香江有俊才
n11568540,王赫：王沪宁为祸远甚陈伯达
n11570780,中国诗人杨炼：致香港人
n11585892,杨宁：从六四到香港 他们在为大义而战
n11593915,九天剑：泪洒大地 血冲长天 兄弟姐妹保重
n11600043,伍指：维多利亚港，多想再见你的背影
n11657535,杨吒 ：谈共产党剥夺人们行善的权利
n11671831,雷亭：上海人从“自私到公民意识”觉醒
n11676789,杨吒：在中共国老师为什么受不到尊重
n11678079,流沙河：美国人是我们最好的朋友
n11686143,骆克仁：华人的感恩节餐桌也很“美式”
n11690481,颜丹：日本人背儒家《论语》破纪录说明了什么？
n11690670,胡少江：香港社会的痈疽 是极权政府的宝贝
n11688080,香港，你会好起来吗？
n11693309,杜彼得： 举贤而授能 大贤处上 不肖处下
n11700683,渔夫：两个世界的华为（被删网文）
n11711506,杜彼得：愁因风雪起 隐者自怡悦
n11724960,东方觉：克拉玛依火灾与泰坦尼克号水难
n11726592,颜丹：李子柒的田园为何那么吸引人？
n11731215,赖锦东：从信仰高度看中美贸易战
n11732082,岳高：圣诞节 寻平安
n11742410,杜彼得：仰则观象于天 俯则观法于地
n11753177,杜彼得：圣诞亮点暗去 余烬比伤口漫长
n11766346,颜丹：是谁造出了“善小而不为”的中国人？
n11770081,杜彼得：登高皋以舒啸 临清流而赋诗
n11776272,文静：铁蹄下“岁月静好”吗？
n11777757,张菁：大陆离婚率高启 半边天思想是根源
n11785344,文静：“舆情引导”员把自己引向了险境
n11788643,王赫：习近平可识“桃花源中人”？
n11804517,杜彼得：2020非你莫鼠 北山白云里 时见归村人
n11808504,方能达：互相学习，取长补短
n11833249,颜丹：中共肺炎让“恨的主义”掉头转向
n11838069,千瑞：中国人，谁能拯救你？
n11840690,司马居山：2020，中国醒来──
n11843516,六日：乌穹之下，没有幸存者
n11850020,王赫：方舱医院是医院、隔离点、集中营？
n11852545,千瑞：绝望处有生路 绝境时不宜迟
n11853263,长风拂泪：为众人抱薪者，不可使其冻毙于风雪
n11856341,木天：它们一直掩盖着真相
n11858120,杨琳：我的一点感想——一个中国人的心声
n11856965,王赫：从三诉案看武汉当局迫害法轮功之惨烈
n11865734,陆明：大疫当前三退保命
n11868686,劳东燕：为铭记这一刻，我们能做些什么？
n11872822,归航：救命良方告诉你
n11874292,慧真：伦敦最美的建筑——真相看板
n11875984,读者投书：做正确的选择
n11888388,谢田：日本耳语中国——礼失求诸野
n11889342,千瑞：中共是生命的耻辱
n11890736,金浴凤：什么是正能量？
n11891529,李斐：武汉追忆
n11896807,蔡慎坤：但愿疫情过去你我清醒些
n11900177,中国大陆网民：神秘之花——被苏共杀害的沙俄公主安娜斯塔西娅
n11904786,千瑞：看神韵 有大吉
n11909339,乾龙：人间天象佐证挣脱魔鬼控制的出路
n11910154,无论个人与政团谎言欺世皆既损人亦害己
n11913790,杜彼得：身无彩凤双飞翼 心有灵犀一点通
n11924122,苦胆：担当（外一首）
n11924182,方能达：灾祸促使深思与醒悟
n11926292,舒炪童：百姓尸骨露野 党却急于寻欢续命
n11930425,吴惠林：回归传统是正途
n11937799,李扬天：看神韵保平安、增加正面能量
n11950608,萧杰森、张威廉：从美国国家祷告日想到的
n11968364,王赫：中共第三波“海外义和团”运动
n11978386,王赫：中共对官员阶层的防范
n11985067,邱阳：潘多拉的盒子与中共病毒的反思
n11997821,觅真：清明将至 沉冤昭雪必有时
n12000049,邱阳：呼唤迷失的本真
n12009389,洪微：不分贫富贵贱 瘟疫大难无处藏
n12011110,袁蝶梦：没有反思的哀悼 一切死亡与眼泪归于零
n12014683,醒一醒吧妈妈
n12014963,张展：汉口火车站，逃难的中国人
n12022112,吴国光：生活的减法，生命的加法
n12029145,洪微：瘟疫中无助的人类 应重新仰望神
n12029417,史鸣：电影《归途》为遭受病毒肆虐的你指条出路
n12031637,铃兰：蒙在鼓里也会回过味来
n12036978,项云：封城后的一点感受
n12042527,长风拂泪：观电影《希望的声音》有感
n12044900,千瑞：生与死，你如何选择？
n12046087,长风拂泪：观电影《希望的声音》有感（中）
n12047182,瘟疫何时过去，未来人类还会有原来的正常生活吗？
n12048794,长风拂泪：观电影《希望的声音》有感（下）
n12051235,幸子：我的忏悔
n12061148,四·二五21周年记：重温《难忘的岁月》
n12061509,清华校友忆4·25和平大上访与昔日同修
n12062794,飞云升：“救劫碑文”给予的提示
n12063282,4•25上访  以浩然正气谱写历史
n12065599,谢燕益：菩提心胜过出离心时方可成就
n12066194,【有奖征文】海外华人被歧视 我来说一说
n12068084,【有奖征文】 我看华人因疫情被歧视的问题
n12069652,还愿：一百万美元的加倍
n12073839,掸封尘：献给2020年最完美的“全家福”
n12080140,【有奖征文】病毒流行期在加拿大经历“歧视”
n12081340,林青：面对大疫 让我们反省忏悔
n12082838,颜纯钩：台湾的美丽与温情
n12091094,铃兰：死生契阔不由人
n12088664,姜光宇：人生如逆旅 大法伴我行
n12096624,长风拂泪：《良家夜无眠》影评  
n12103860,凌晓辉：让生命走向新生的节日
n12107005,【有奖征文】歧视是嚼过的口香糖 黏在鞋底：蹭掉它！
n12138799,李玉麟：正在改变世界的力量
n12144365,宋福：我要活下去
n12156766,陈秀玲：加拿大议员、荷兰公主与公仆
n12160265,秋阳：我看见你
n12161892,陈秀玲：新闻工作的“变变变”
n12162384,良典：老教授眼中微噙的泪花
n12175041,张林：我的手机被黑人抢了！
n12182666,吴国光：退回到自己的内心
n12187895,善慧：看《扶摇直上》主题曲有感
n12202505,观雨堂主：谈人的德性
n12228763,朔方：关于六四的断简残篇（1）
n12230680,朔方：关于六四的断简残篇（2）
n12237835,羊儿：十字路口上的美国
n12241759,写在709之际 王全章：我是怎样一个人
n12244251,风雨同舟——“709”五周年感言
n12251331,如笔：假如你的人生被偷走
n12264348,朔方：关于六四的断简残篇（3）
n12268408,7‧20抒怀：生命的芬芳
n12268229,一场建立在谎言之上的世纪灾难
n12295592,朔方：关于六四的断简残篇（4）
n12300699,朔方：关于六四的断简残篇（5）
n12307919,清芷：别让生命走向绝境
n12309891,清奇：以孟子眼光看今日中国，何如？
n12344654,清芷：中共治下，想要遵守职业道德有多难
n12358665,清奇：爱国莫如爱天下
n12361886,清奇：谎言的代价
n12366045,任世豪：救人的赤忱 融化了盛暑的酷热
n12399895,清芷：涓涓清流
n12402077,铃兰：又见乐山大佛
n12406691,宇明：看不见不相信不是聪明之人
n12410379,影寓：《完美感觉》的启示
n12414848,清芷：这个世界从未辜负一份善良
n12415462,任世豪：十九年坚守
n12418138,洪达：庆贺香港天梯书店开幕
n12427992,刘超祺：色光灿烂耀舞台
n12428503,清竹：人真正生命的归途在哪里？
n12433671,石铭：天上月儿圆 人间团圆难
n12435733,清芷：不争不抢，自有命运打赏
n12441876,宋善：中秋遥寄感恩 真相传遍神州
n12441935,Athena：中秋随想
n12445016,吴玉：中秋节的最美祝福——佳片传良善
n12451852,清竹：这是战胜瘟疫的希望——看影片《路遇》有感
n12453996,宇明：古今对比看“道德”
n12467917,宇明：失去“诚信”就将失去一切
n12477562,祥瑞：人心善恶在一念，喜获真相得福报
n12491130,清芷：从你死我活到家庭和睦之路
n12492950,隋志：误解有冰释之日 及时醒悟不嫌晚
n12498807,清流：观新世纪电影《归途》有感
n12500382,刘超祺：重阳  
n12490991,洪达：两个世界中的重阳节
n12505029,邢天行：13岁 他上了朝鲜战场拒做间谍后……
n12507997,影评：用凄美的故事诠释忧伤，用传神的艺术传递希望
n12510360,清竹：赞美你，高贵的灵魂！
n12524699,邢天行：11月3日投票现场目击感受
n12532786,龙驹：为川普流泪的人与惊心动魄正邪大战
n12569144,常忍：说不尽的感恩——师恩浩荡
n12574865,陈光诚：正邪相争 邪恶反扑亦难逃天数惩罚
n12576269,向真：纽伦堡大审判75周年的省思
n12583771,楚人：民主选举遭蹂躏 美国历史上的至暗时期
n12595907,铁石：中华男儿到此情亦深
n12599508,唐恩：台北自由广场的年度盛事
n12606401,观雨堂主：孤独的正义
n12611555,郑义：700 英里发传单 为川普而战
n12614204,铃兰：多少川粉青衫湿
n12618866,铃兰：德不孤 必有邻
n12627423,隋志：救世仙方不远求 尽在方寸一念间
n12631775,还愿：关于美国大选的思考
n12631850,岳高：圣诞感怀
n12643282,周晓辉：圣诞节的省思与向神祈祷
n12650436,铃兰：怎一个愁字了得
n12651996,我爱美国：为创世主赋予的自由而战的国度
n12661266,费良勇：别了，悲伤的2020年！
n12661413,戈壁东：告别苦难 迎接曙光
n12678354,美心理治疗师：真正的宽恕是什么？
n12701160,王芳：一位中国女诗人眼中的美国
n12709210,郭军：父亲的脚后跟
n12714820,向真：省思一亿人染疫的浩劫
n12746849,傅华：琪儿的歌
n12757663,宇明：一生中最难忘的痛苦之“年”
n12760835,吴玉：好皮囊满街跑 有趣的灵魂《百里挑一》
n12762161,晓风：传统与信仰是现代文明的基础
n12778898,晓风：为自己选择正确的未来
n12848172,向真：清明抒怀
n12848360,伊利夏提：消失在集中营的红衣女孩儿
n12851128,陆言：对幼儿园学党史的一点感想
n12855911,宋善：世界卫生日的省思
n12857953,觅真：泪水撒在清明节！
n12862144,思韵：邂逅《意外》 发现“意外”的惊喜
n12869689,读懂《意外》 人生就是一场猝不及防的意外
n12871130,清荷：谁偷走了孩子的心——大陆幼儿园教育有感
n12877650,李正宽：三星堆藏密钥 打开尘封历史之锁？
n12877867,尚荷：《意外》观感——一场车祸引发的人生转折
n12879174,清流：二婶，我就要找一个炼法轮功的女友（上）
n12880270,回忆十六年前被中共害死的父亲李茂勋
n12893609,四二五——巍巍丰碑
n12898729,曾慧燕：我曾在世贸大楼专访李洪志先生
n12902318,陈思敏：四二五有感“中国本来可以是另一个样子”
n12928084,清竹：台湾显现的正能量在与苍穹同辉
n12932771,川人：“世界法轮大法日”感怀
n12944018,造福社会和时代的法轮大法修炼人
n12953189,清流：二婶，我就要找一个炼法轮功的女友（下）
n12955438,蒋立智：“变种恐慌”病毒影响经济
n12957723,部分海外原清华大学法轮大法弟子诗以咏志谢师恩
n12976554,千瑞：长望中原
n12974542,美国精神的推动者 百年音乐家苏萨
n12977761,王友群：台湾是个好地方 谁毁台湾谁有罪
n12983029,影评《抉择》 经历了这一切，当中国人还值得吗？
n12985418,阵亡将士纪念日：铭记那些献出生命的人
n12989540,今年的阵亡将士纪念日：自由的新生
n12990148,陈大民：真正的自由需要人人回馈
n12988506,跨时空智慧：古老中国的自我提高艺术
n12993985,清竹：超凡入圣的绘画震撼了我的心
n13000386,李田田：成人化的“儿童节”真的童趣盎然吗？
n13002969,教育家为何担心个人主义衰败胜过原子弹？
n13017621,李田田：减压式生活未必就是消极堕落，由国之大考所想到的
n13022097,李疏影：不能忘却的抗争，和走下去的希望
n13024688,影评：英雄的壮举（上）
n13025435,清竹：著名歌唱家关贵敏的故事
n13027244,影评：英雄的壮举（中）
n13027438,影评：英雄的壮举（下）
n13038731,清竹：神韵使关贵敏的艺术人生更加灿烂
n13051994,和风：消声的悲歌
n13053252,人生规则的关键是个人责任
n13054510,养育孩子：平衡自由与安全的技巧
n13069850,清竹：观小舞剧《龙门客栈》有感
n13075782,一真：生命——个普通家庭的故事
n13081876,练就耐心带来的益处
n13099470,尚荷：绝处逢生？《归途》背后的真实人生
n13099634,林青：天国乐团的能量冲击波
n13102771,【名家专栏】反迫害22周年 铭记那些英勇的人
n13103916,清荷：生活在假话大国里
n13111626,邢鉴：我与新西兰国会议员见面
n13135372,石山：郑州雨灾激活的感言
n13140355,黄翔：宇宙时空岩文（之一）
n13141116,黄翔：宇宙时空岩文（之二）
n13163359,乐评：抹不去的纪念——倾听大雄《无名之辈无所适从》
n13213177,清荷：祸福皆自前因
n13213201,祥瑞：躺平人的选择与《归途》的一步之遥
n13242358,宋紫凤：疫情中的这一家 剧本外的你我他
n13242564,《抉择》影评——每个情节都来自真实的中国
n13244251,《抓捕》影评：危难关头，敢不敢拔刀相助
n13245916,林青：又到中秋月圆时 多少游子泪湿襟
n13249632,李思仪：每个中国人心里都有一部强拆血泪史
n13257099,达温：为什么中共领导下的中国看不到“英雄男孩”？
n13260528,王瑞雅：《面试》影评——生命中真正的贵人
n13274064,王瑞雅：电影《抉择》带给台商的启示
n13275318,心若向阳，无惧风霜——观影片《意外》有感
n13284280,长风拂泪：辚辚浩然车，正气穿越美国
n13284545,觅真：从耄耋老人被劫入狱看解体中共的急迫
n13292494,李疏影：《面试》——一件衣服，改变一生
n13304848,清荷：叫610的信心怎能不垮？
n13332569,慕容雪儿：如何判断，你看到的世界是否真实？
n13354743,大峡谷掠影遐思
n13377229,黄天辰：听“墙外”遥想当年离墙之旅
n13389805,《寻狗》影评：现实版渔夫与金鱼，电影比童话有趣
n13438837,赵阳：我行走在黑白两道的舅舅，和他错选的人生
n13453241,【名家专栏】圣诞心愿：权利与自由
n13453438,美国人在金门：通往自由前线的旅程
n13470084,清荷：谁种的苦果？
n13482329,吴玉：《聚会Ⅱ》新年职场大PK，拷问直击心灵
n13486826,李清：“方脑袋”的德国人
n13499041,卷云：一场心灵的洗涤
n13500542,金言：虎年说虎——忧伤的生肖邮票
n13502266,李清：北京胡同里一家法国人的故事
n13506511,薄岚澄：一波三折却震撼人心的新年聚会
n13507378,何清涟：花谢有余芳，汝剑仍铿锵
n13509328,刘正清：哭张青
n13516514,惠虎宇：影评——穿越生死的《沉默呼声》
n13530032,李涵：贺岁片《聚会Ⅱ》，让我相信了以德报怨的力量
n13543871,张菁：过年了，想起为修炼而遭难的许那们
n13553725,颜纯钩﻿：一个反共斗士的心路历程
n13574843,颜纯钩：看《时代革命》百感交集 向导演致敬
n13580867,影评：越来越明朗的希望——观贺岁片《聚会（2）》
n13593675,林青：法拉盛的历史 为美国的信仰自由奠基
n13594614,影评：我在为谁伤感落泪？
n13605425,云昭：走进窄门的梁小军
n13606884,簿岚澄：观《过年Ⅱ》随想
n13607391,云昭：谢燕益的道
n13627118,奥运史上的人性之光
n13664510,吴玉：《抓捕2》影评——为守住良知的警察点赞
